provider,sourceType,sourceCode,sourceDescription,canonicalConcept,conceptGroup,signalClass,severity,direction,requiresReview,canContributeToDecline,dedupeKey,narrativeKey,notes,status,displayLabel
middesk,mcc_code,5013,Motor Vehicle Supplies and New Parts (MCC),business_classification_context,business,business,low,neutral,false,false,5013,,,active,Motor Vehicle Supplies and New Parts
middesk,mcc_code,5021,Office and Commercial Furniture (MCC),business_classification_context,business,business,low,neutral,false,false,5021,,,active,Office and Commercial Furniture
middesk,mcc_code,5039,Construction Materials (Not Elsewhere Classified) (MCC),business_classification_context,business,business,low,neutral,false,false,5039,,,active,Construction Materials (Not Elsewhere Classified)
middesk,mcc_code,5044,"Photographic, Photocopy, Microfilm Equipment, and Supplies (MCC)",business_classification_context,business,business,low,neutral,false,false,5044,,,active,"Photographic, Photocopy, Microfilm Equipment, and Supplies"
middesk,mcc_code,5045,"Computers, Peripherals, and Software (MCC)",business_classification_context,business,business,low,neutral,false,false,5045,,,active,"Computers, Peripherals, and Software"
middesk,mcc_code,5046,Commercial Equipment (Not Elsewhere Classified) (MCC),business_classification_context,business,business,low,neutral,false,false,5046,,,active,Commercial Equipment (Not Elsewhere Classified)
middesk,mcc_code,5047,"Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies (MCC)",business_classification_context,business,business,low,neutral,false,false,5047,,,active,"Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies"
middesk,mcc_code,5051,Metal Service Centers (MCC),business_classification_context,business,business,low,neutral,false,false,5051,,,active,Metal Service Centers
middesk,mcc_code,5065,Electrical Parts and Equipment (MCC),business_classification_context,business,business,low,neutral,false,false,5065,,,active,Electrical Parts and Equipment
middesk,mcc_code,5072,"Hardware, Equipment, and Supplies (MCC)",business_classification_context,business,business,low,neutral,false,false,5072,,,active,"Hardware, Equipment, and Supplies"
middesk,mcc_code,5074,"Plumbing, Heating Equipment, and Supplies (MCC)",business_classification_context,business,business,low,neutral,false,false,5074,,,active,"Plumbing, Heating Equipment, and Supplies"
middesk,mcc_code,5085,Industrial Supplies (Not Elsewhere Classified) (MCC),business_classification_context,business,business,low,neutral,false,false,5085,,,active,Industrial Supplies (Not Elsewhere Classified)
middesk,mcc_code,5094,"Precious Stones and Metals, Watches and Jewelry (MCC)",business_classification_context,business,business,low,neutral,false,false,5094,,,active,"Precious Stones and Metals, Watches and Jewelry"
middesk,mcc_code,5099,Durable Goods (Not Elsewhere Classified) (MCC),business_classification_context,business,business,low,neutral,false,false,5099,,,active,Durable Goods (Not Elsewhere Classified)
