reason_code_id,code,description,service_name,service_internal_name,service_id,middesk_bucket
12722,5231,"Glass, Paint, and Wallpaper Stores (MCC)",Middesk,Middesk,641,mcc
11582,5251,Insurance and Employee Benefit Funds (MCC),Middesk,Middesk,641,mcc
12731,5251,Hardware Stores (MCC),Middesk,Middesk,641,mcc
12788,5261,"Nurseries, Lawn and Garden Supply Stores (MCC)",Middesk,Middesk,641,mcc
12755,5262,Marketplaces (MCC),Middesk,Middesk,641,mcc
12776,5271,Mobile Home Dealers (MCC),Middesk,Middesk,641,mcc
12874,5300,Wholesale Clubs (MCC),Middesk,Middesk,641,mcc
12692,5309,Duty Free Stores (MCC),Middesk,Middesk,641,mcc
12683,5310,Discount Stores (MCC),Middesk,Middesk,641,mcc
11585,5311,Lessors of Real Estate (MCC),Middesk,Middesk,641,mcc
12669,5311,Department Stores (MCC),Middesk,Middesk,641,mcc
11592,5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (MCC),Middesk,Middesk,641,mcc
12866,5331,Variety Stores (MCC),Middesk,Middesk,641,mcc
12769,5399,Miscellaneous General Merchandise (MCC),Middesk,Middesk,641,mcc
11594,5411,Legal Services (MCC),Middesk,Middesk,641,mcc
12730,5411,"Grocery Stores, Supermarkets (MCC)",Middesk,Middesk,641,mcc
12714,5422,Freezer and Locker Meat Provisioners (MCC),Middesk,Middesk,641,mcc
12626,5441,"Candy, Nut, and Confectionery Stores (MCC)",Middesk,Middesk,641,mcc
12665,5451,Dairy Products Stores (MCC),Middesk,Middesk,641,mcc
12610,5462,Bakeries (MCC),Middesk,Middesk,641,mcc
12768,5499,Miscellaneous Food Stores - Convenience Stores and Specialty Markets (MCC),Middesk,Middesk,641,mcc
12629,5511,"Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing (MCC)",Middesk,Middesk,641,mcc
12630,5521,"Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing (MCC)",Middesk,Middesk,641,mcc
12603,5531,Auto and Home Supply Stores (MCC),Middesk,Middesk,641,mcc
